pO2,pCO2,f1,f2
50.9,54.2,-0.0161703,0.0683956
50.9,54.4,-0.0162635,0.0692081
50.9,54.6,-0.0163566,0.0700184
50.9,54.8,-0.0164496,0.0708264
50.9,55,-0.0165424,0.0716321
50.9,55.2,-0.0166351,0.0724356
50.9,55.4,-0.0167276,0.0732368
50.9,55.6,-0.01682,0.0740358
50.9,55.8,-0.0169123,0.0748326
50.9,56,-0.0170044,0.0756272
50.9,56.2,-0.0170964,0.0764196
50.9,56.4,-0.0171883,0.0772099
50.9,56.6,-0.01728,0.077998
50.9,56.8,-0.0173716,0.0787839
50.9,57,-0.017463,0.0795677
50.9,57.2,-0.0175543,0.0803494
50.9,57.4,-0.0176455,0.081129
50.9,57.6,-0.0177365,0.0819065
50.9,57.8,-0.0178274,0.0826818
50.9,58,-0.0179182,0.0834551
50.9,58.2,-0.0180088,0.0842264
50.9,58.4,-0.0180993,0.0849956
50.9,58.6,-0.0181896,0.0857627
50.9,58.8,-0.0182798,0.0865278
50.9,59,-0.0183699,0.0872909
50.9,59.2,-0.0184598,0.088052
50.9,59.4,-0.0185496,0.0888111
50.9,59.6,-0.0186392,0.0895682
50.9,59.8,-0.0187287,0.0903234
50.9,60,-0.0188181,0.0910765
50.9,60.2,-0.0189073,0.0918277
50.9,60.4,-0.0189964,0.092577
50.9,60.6,-0.0190854,0.0933243
50.9,60.8,-0.0191742,0.0940697
50.9,61,-0.0192629,0.0948132
50.9,61.2,-0.0193514,0.0955548
50.9,61.4,-0.0194398,0.0962945
50.9,61.6,-0.0195281,0.0970324
50.9,61.8,-0.0196162,0.0977683
50.9,62,-0.0197042,0.0985024
50.9,62.2,-0.019792,0.0992346
50.9,62.4,-0.0198797,0.099965
50.9,62.6,-0.0199673,0.100694
50.9,62.8,-0.0200548,0.10142
50.9,63,-0.0201421,0.102145
50.9,63.2,-0.0202292,0.102868
50.9,63.4,-0.0203162,0.10359
50.9,63.6,-0.0204031,0.104309
50.9,63.8,-0.0204899,0.105027
50.9,64,-0.0205765,0.105743
50.9,64.2,-0.020663,0.106457
50.9,64.4,-0.0207493,0.107169
50.9,64.6,-0.0208355,0.10788
50.9,64.8,-0.0209216,0.108589
50.9,65,-0.0210075,0.109296
50.9,65.2,-0.0210933,0.110002
50.9,65.4,-0.0211789,0.110706
50.9,65.6,-0.0212645,0.111408
50.9,65.8,-0.0213498,0.112108
50.9,66,-0.0214351,0.112807
50.9,66.2,-0.0215202,0.113504
50.9,66.4,-0.0216052,0.1142
50.9,66.6,-0.02169,0.114893
50.9,66.8,-0.0217747,0.115585
50.9,67,-0.0218593,0.116276
50.9,67.2,-0.0219437,0.116965
50.9,67.4,-0.022028,0.117652
50.9,67.6,-0.0221121,0.118338
50.9,67.8,-0.0221961,0.119022
50.9,68,-0.02228,0.119704
50.9,68.2,-0.0223638,0.120385
50.9,68.4,-0.0224474,0.121064
50.9,68.6,-0.0225309,0.121742
50.9,68.8,-0.0226142,0.122418
50.9,69,-0.0226974,0.123092
50.9,69.2,-0.0227805,0.123765
50.9,69.4,-0.0228634,0.124436
50.9,69.6,-0.0229462,0.125106
50.9,69.8,-0.0230289,0.125774
50.9,70,-0.0231114,0.126441
51.35,30,-0.00346624,-0.0528157
51.35,30.2,-0.00357187,-0.0515645
51.35,30.4,-0.00367743,-0.0503191
51.35,30.6,-0.00378291,-0.0490793
51.35,30.8,-0.00388832,-0.0478453
51.35,31,-0.00399364,-0.0466169
51.35,31.2,-0.00409889,-0.045394
51.35,31.4,-0.00420405,-0.0441766
51.35,31.6,-0.00430914,-0.0429647
51.35,31.8,-0.00441414,-0.0417581
51.35,32,-0.00451905,-0.0405569
51.35,32.2,-0.00462388,-0.039361
51.35,32.4,-0.00472863,-0.0381703
51.35,32.6,-0.00483329,-0.0369847
51.35,32.8,-0.00493786,-0.0358044
51.35,33,-0.00504235,-0.0346291
51.35,33.2,-0.00514674,-0.0334588
51.35,33.4,-0.00525105,-0.0322936
51.35,33.6,-0.00535526,-0.0311333
51.35,33.8,-0.00545938,-0.0299778
51.35,34,-0.00556341,-0.0288273
51.35,34.2,-0.00566735,-0.0276815
51.35,34.4,-0.00577119,-0.0265406
51.35,34.6,-0.00587494,-0.0254043
51.35,34.8,-0.00597859,-0.0242727
51.35,35,-0.00608215,-0.0231458
51.35,35.2,-0.0061856,-0.0220234
51.35,35.4,-0.00628896,-0.0209056
51.35,35.6,-0.00639222,-0.0197924
51.35,35.8,-0.00649538,-0.0186836
51.35,36,-0.00659844,-0.0175792
51.35,36.2,-0.0067014,-0.0164793
51.35,36.4,-0.00680426,-0.0153837
51.35,36.6,-0.00690701,-0.0142924
51.35,36.8,-0.00700967,-0.0132054
51.35,37,-0.00711221,-0.0121227
51.35,37.2,-0.00721466,-0.0110442
51.35,37.4,-0.007317,-0.00996984
51.35,37.6,-0.00741923,-0.00889965
51.35,37.8,-0.00752135,-0.00783356
51.35,38,-0.00762337,-0.00677156
51.35,38.2,-0.00772529,-0.00571359
51.35,38.4,-0.00782709,-0.00465964
51.35,38.6,-0.00792878,-0.00360966
51.35,38.8,-0.00803037,-0.00256362
51.35,39,-0.00813184,-0.0015215
51.35,39.2,-0.00823321,-0.000483256
51.35,39.4,-0.00833446,0.000551136
51.35,39.6,-0.0084356,0.00158171
51.35,39.8,-0.00853663,0.00260849
51.35,40,-0.00863754,0.00363152
51.35,40.2,-0.00873835,0.00465082
51.35,40.4,-0.00883904,0.00566641
51.35,40.6,-0.00893961,0.00667834
51.35,40.8,-0.00904007,0.00768662
51.35,41,-0.00914041,0.00869128
51.35,41.2,-0.00924064,0.00969236
51.35,41.4,-0.00934075,0.0106899
51.35,41.6,-0.00944075,0.0116839
51.35,41.8,-0.00954063,0.0126744
51.35,42,-0.00964039,0.0136614
51.35,42.2,-0.00974003,0.0146449
51.35,42.4,-0.00983955,0.015625
51.35,42.6,-0.00993895,0.0166017
51.35,42.8,-0.0100382,0.0175751
51.35,43,-0.0101374,0.0185451
51.35,43.2,-0.0102364,0.0195117
51.35,43.4,-0.0103354,0.0204751
51.35,43.6,-0.0104342,0.0214352
51.35,43.8,-0.0105329,0.022392
51.35,44,-0.0106314,0.0233456
51.35,44.2,-0.0107299,0.024296
51.35,44.4,-0.0108282,0.0252432
51.35,44.6,-0.0109264,0.0261872
51.35,44.8,-0.0110244,0.0271281
51.35,45,-0.0111224,0.0280659
51.35,45.2,-0.0112202,0.0290005
51.35,45.4,-0.0113179,0.0299322
51.35,45.6,-0.0114155,0.0308607
51.35,45.8,-0.0115129,0.0317862
51.35,46,-0.0116102,0.0327087
51.35,46.2,-0.0117074,0.0336283
51.35,46.4,-0.0118045,0.0345448
51.35,46.6,-0.0119014,0.0354584
51.35,46.8,-0.0119983,0.0363691
51.35,47,-0.012095,0.0372768
51.35,47.2,-0.0121915,0.0381817
51.35,47.4,-0.012288,0.0390837
51.35,47.6,-0.0123843,0.0399828
51.35,47.8,-0.0124804,0.0408792
51.35,48,-0.0125765,0.0417727
51.35,48.2,-0.0126724,0.0426634
51.35,48.4,-0.0127682,0.0435513
